"Date","Price","Open","High","Low","Vol.","Change %"
"May 22, 2022","0.085196","0.084428","0.086644","0.083853","307.42M","0.91%"
"May 15, 2022","0.084427","0.089386","0.093197","0.081508","6.50B","-5.55%"
"May 08, 2022","0.089386","0.127451","0.128175","0.068584","28.01B","-29.87%"
"May 01, 2022","0.127464","0.127440","0.137688","0.123792","10.54B","-0.00%"
"Apr 24, 2022","0.127465","0.133811","0.169885","0.122725","32.16B","-4.73%"
"Apr 17, 2022","0.133795","0.143524","0.146577","0.133356","8.82B","-6.78%"
"Apr 10, 2022","0.143530","0.144212","0.157515","0.133025","18.21B","-0.44%"
"Apr 03, 2022","0.144170","0.138697","0.179018","0.136300","31.81B","3.94%"
"Mar 27, 2022","0.138704","0.136072","0.153500","0.132265","14.41B","1.91%"
"Mar 20, 2022","0.136101","0.123539","0.140907","0.117460","11.25B","10.17%"
"Mar 13, 2022","0.123535","0.114717","0.124991","0.110102","3.02B","7.69%"
"Mar 06, 2022","0.114710","0.123118","0.125528","0.113997","1.86B","-6.83%"
"Feb 27, 2022","0.123119","0.127599","0.138805","0.120270","5.49B","-3.51%"
"Feb 20, 2022","0.127596","0.140909","0.141556","0.107474","11.03B","-9.45%"
"Feb 13, 2022","0.140908","0.144302","0.157644","0.136167","8.95B","-2.35%"
"Feb 06, 2022","0.144303","0.146911","0.172657","0.140862","11.66B","-1.78%"
"Jan 30, 2022","0.146924","0.142894","0.150426","0.134797","6.01B","2.78%"
"Jan 23, 2022","0.142947","0.133278","0.153061","0.126167","13.26B","7.26%"
"Jan 16, 2022","0.133266","0.184707","0.184707","0.120493","13.77B","-27.84%"
"Jan 09, 2022","0.184686","0.150882","0.211988","0.137370","27.50B","22.42%"
"Jan 02, 2022","0.150862","0.173105","0.176137","0.145722","8.88B","-12.85%"
"Dec 26, 2021","0.173115","0.190581","0.192787","0.165382","7.93B","-9.14%"
"Dec 19, 2021","0.190539","0.172374","0.195061","0.161241","10.44B","10.55%"
"Dec 12, 2021","0.172349","0.168788","0.219922","0.151692","22.75B","2.15%"
"Dec 05, 2021","0.168723","0.178943","0.183701","0.159361","13.72B","-5.71%"
"Nov 28, 2021","0.178945","0.205053","0.226857","0.133105","15.15B","-12.74%"
"Nov 21, 2021","0.205067","0.233067","0.236107","0.190079","15.44B","-12.01%"
"Nov 14, 2021","0.233070","0.261281","0.271178","0.215556","12.68B","-10.81%"
"Nov 07, 2021","0.261325","0.261802","0.296603","0.237132","19.29B","-0.12%"
"Oct 31, 2021","0.261630","0.268516","0.285830","0.250844","21.42B","-2.56%"
"Oct 24, 2021","0.268515","0.251133","0.339122","0.219357","64.50B","6.95%"
"Oct 17, 2021","0.251078","0.237287","0.272450","0.226109","20.96B","5.93%"
"Oct 10, 2021","0.237018","0.246621","0.248597","0.216633","13.28B","-3.88%"
"Oct 03, 2021","0.246595","0.218545","0.271488","0.212778","26.46B","12.79%"
"Sep 26, 2021","0.218634","0.208383","0.224738","0.194212","8.56B","4.92%"
"Sep 19, 2021","0.208383","0.241403","0.241403","0.197086","14.87B","-13.67%"
"Sep 12, 2021","0.241378","0.241023","0.259470","0.228618","11.33B","0.17%"
"Sep 05, 2021","0.240969","0.299221","0.319579","0.214585","22.49B","-19.47%"
"Aug 29, 2021","0.299222","0.271743","0.309234","0.262304","12.95B","10.23%"
"Aug 22, 2021","0.271453","0.298475","0.324251","0.259160","18.00B","-9.05%"
"Aug 15, 2021","0.298471","0.291388","0.347427","0.273458","38.37B","2.39%"
"Aug 08, 2021","0.291495","0.261231","0.296521","0.230012","39.33B","11.56%"
"Aug 01, 2021","0.261285","0.206723","0.261825","0.192766","12.22B","26.45%"
"Jul 25, 2021","0.206627","0.189225","0.232750","0.189225","20.19B","6.43%"
"Jul 18, 2021","0.194135","0.186197","0.213724","0.159506","20.36B","4.29%"
"Jul 11, 2021","0.186148","0.213362","0.218014","0.168685","10.96B","-12.75%"
"Jul 04, 2021","0.213355","0.246818","0.248907","0.088727","15.75B","-13.56%"
"Jun 27, 2021","0.246818","0.245715","0.273184","0.237295","18.52B","0.88%"
"Jun 20, 2021","0.244672","0.281178","0.288556","0.164609","60.27B","-13.00%"
"Jun 13, 2021","0.281223","0.309628","0.335614","0.278563","12.69B","-9.17%"
"Jun 06, 2021","0.309604","0.371029","0.377236","0.296348","19.83B","-16.57%"
"May 30, 2021","0.371083","0.302124","0.444100","0.286698","44.46B","22.82%"
"May 23, 2021","0.302128","0.341509","0.379504","0.249235","39.13B","-11.53%"
